date,total,total_male,total_female
1967-09-01,445,432,13
1967-10-01,446,433,13
1967-11-01,452,437,15
1967-12-01,456,441,15
1968-01-01,462,447,15
1968-02-01,468,453,15
1968-03-01,474,459,15
1968-04-01,475,459,16
1968-05-01,477,461,16
1968-06-01,478,462,16
1968-07-01,480,464,16
1968-08-01,484,468,16
1968-09-01,484,468,16
1968-10-01,484,468,16
1968-11-01,486,470,16
1968-12-01,489,473,16
1969-01-01,492,476,16
1969-02-01,495,479,16
1969-03-01,498,482,16
1969-04-01,500,484,16
1969-05-01,500,484,16
1969-06-01,501,485,16
1969-07-01,502,486,16
1969-08-01,503,487,16
1969-09-01,503,487,16
1969-10-01,503,487,16
1969-11-01,507,491,16
1969-12-01,511,495,16
1970-01-01,513,497,16
1970-02-01,515,499,16
1970-03-01,519,502,17
1970-04-01,519,502,17
1970-05-01,519,502,17
1970-06-01,522,504,18
1970-07-01,526,508,18
1970-08-01,528,510,18
1970-09-01,528,510,18
1970-10-01,528,510,18
1970-11-01,529,510,19
1970-12-01,534,513,21
1971-01-01,534,513,21
1971-02-01,536,515,21
1971-03-01,536,515,21
1971-04-01,542,521,21
1971-05-01,544,523,21
1971-06-01,548,526,22
1971-07-01,551,527,24
1971-08-01,552,528,24
1971-09-01,552,528,24
1971-10-01,554,530,24
1971-11-01,557,533,24
1971-12-01,558,534,24
1972-01-01,563,539,24
1972-02-01,564,540,24
1972-03-01,565,541,24
1972-04-01,565,541,24
1972-05-01,566,541,25
1972-06-01,568,542,26
1972-07-01,573,547,26
1972-08-01,578,552,26
1972-09-01,578,552,26
1972-10-01,578,552,26
1972-11-01,580,554,26
1972-12-01,581,555,26
1973-01-01,582,556,26
1973-02-01,582,556,26
1973-03-01,584,558,26
1973-04-01,585,559,26
1973-05-01,588,562,26
1973-06-01,592,565,27
1973-07-01,595,567,28
1973-08-01,601,573,28
1973-09-01,601,573,28
1973-10-01,601,573,28
1973-11-01,604,576,28
1973-12-01,607,579,28
1974-01-01,609,581,28
1974-02-01,609,581,28
1974-03-01,610,582,28
1974-04-01,618,590,28
1974-05-01,621,593,28
1974-06-01,629,600,29
1974-07-01,633,604,29
1974-08-01,649,615,34
1974-09-01,649,615,34
1974-10-01,649,615,34
1974-11-01,654,620,34
1974-12-01,656,622,34
1975-01-01,657,623,34
1975-02-01,669,634,35
1975-03-01,680,644,36
1975-04-01,681,645,36
1975-05-01,682,646,36
1975-06-01,684,648,36
1975-07-01,687,650,37
1975-08-01,690,653,37
1975-09-01,690,653,37
1975-10-01,692,654,38
1975-11-01,695,657,38
1975-12-01,697,659,38
1976-01-01,698,660,38
1976-02-01,704,666,38
1976-03-01,712,673,39
1976-04-01,716,677,39
1976-05-01,719,680,39
1976-06-01,727,688,39
1976-07-01,733,694,39
1976-08-01,741,702,39
1976-09-01,742,703,39
1976-10-01,747,708,39
1976-11-01,752,713,39
1976-12-01,755,716,39
1977-01-01,758,719,39
1977-02-01,760,721,39
1977-03-01,765,726,39
1977-04-01,769,730,39
1977-05-01,770,731,39
1977-06-01,773,734,39
1977-07-01,776,737,39
1977-08-01,780,741,39
1977-09-01,780,741,39
1977-10-01,781,742,39
1977-11-01,786,747,39
1977-12-01,791,752,39
1978-01-01,792,753,39
1978-02-01,795,756,39
1978-03-01,803,763,40
1978-04-01,805,765,40
1978-05-01,812,772,40
1978-06-01,819,778,41
1978-07-01,823,782,41
1978-08-01,831,789,42
1978-09-01,832,790,42
1978-10-01,832,790,42
1978-11-01,834,792,42
1978-12-01,834,792,42
1979-01-01,837,795,42
1979-02-01,837,795,42
1979-03-01,841,799,42
1979-04-01,847,805,42
1979-05-01,848,806,42
1979-06-01,852,810,42
1979-07-01,854,812,42
1979-08-01,874,829,45
1979-09-01,874,829,45
1979-10-01,874,829,45
1979-11-01,877,832,45
1979-12-01,884,838,46
1980-01-01,888,841,47
1980-02-01,888,841,47
1980-03-01,894,846,48
1980-04-01,896,848,48
1980-05-01,898,850,48
1980-06-01,899,851,48
1980-07-01,901,853,48
1980-08-01,904,856,48
1980-09-01,907,859,48
1980-10-01,907,859,48
1980-11-01,911,863,48
1980-12-01,912,864,48
1981-01-01,913,865,48
1981-02-01,914,866,48
1981-03-01,919,871,48
1981-04-01,922,874,48
1981-05-01,925,877,48
1981-06-01,932,883,49
1981-07-01,939,887,52
1981-08-01,943,891,52
1981-09-01,943,891,52
1981-10-01,943,891,52
1981-11-01,947,895,52
1981-12-01,950,898,52
1982-01-01,952,900,52
1982-02-01,954,902,52
1982-03-01,956,904,52
