Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,188,67,0,255
6,Crossbench,135,45,0,180
15,Labour,118,59,0,177
17,Liberal Democrat,57,32,0,89
49,Non-affiliated,42,11,0,53
3,Bishops,21,5,0,26
7,Democratic Unionist Party,5,0,0,5
44,Green Party,0,2,0,2
10,Independent Labour,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
5,Conservative Independent,1,0,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
43,Labour Independent,0,1,0,1
283,Lord Speaker,1,0,0,1
22,Plaid Cymru,1,0,0,1
