Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,185,62,0,247
15,Labour,129,59,0,188
6,Crossbench,142,43,0,185
17,Liberal Democrat,63,34,0,97
49,Non-affiliated,26,4,0,30
3,Bishops,22,4,0,26
7,Democratic Unionist Party,4,0,0,4
10,Independent Labour,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
5,Conservative Independent,1,0,0,1
44,Green Party,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
43,Labour Independent,0,1,0,1
283,Lord Speaker,1,0,0,1
22,Plaid Cymru,1,0,0,1
35,UK Independence Party,1,0,0,1
