Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,188,62,0,250
15,Labour,129,58,0,187
6,Crossbench,141,44,0,185
17,Liberal Democrat,64,34,0,98
49,Non-affiliated,25,4,0,29
3,Bishops,22,3,0,25
7,Democratic Unionist Party,4,0,0,4
35,UK Independence Party,3,0,0,3
10,Independent Labour,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
44,Green Party,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
43,Labour Independent,0,1,0,1
283,Lord Speaker,1,0,0,1
22,Plaid Cymru,1,0,0,1
