Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,180,66,0,246
6,Crossbench,137,44,0,181
15,Labour,121,58,0,179
17,Liberal Democrat,58,32,0,90
49,Non-affiliated,39,8,0,47
3,Bishops,21,5,0,26
7,Democratic Unionist Party,4,0,0,4
44,Green Party,0,2,0,2
10,Independent Labour,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
5,Conservative Independent,1,0,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
43,Labour Independent,0,1,0,1
283,Lord Speaker,1,0,0,1
22,Plaid Cymru,1,0,0,1
