Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,185,62,0,247
15,Labour,128,57,0,185
6,Crossbench,141,43,0,184
17,Liberal Democrat,61,34,0,95
49,Non-affiliated,24,4,0,28
3,Bishops,21,5,0,26
7,Democratic Unionist Party,4,0,0,4
10,Independent Labour,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
5,Conservative Independent,1,0,0,1
44,Green Party,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
43,Labour Independent,0,1,0,1
283,Lord Speaker,1,0,0,1
22,Plaid Cymru,1,0,0,1
35,UK Independence Party,1,0,0,1
