Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,181,62,0,243
6,Crossbench,140,43,0,183
15,Labour,125,57,0,182
17,Liberal Democrat,62,34,0,96
49,Non-affiliated,28,4,0,32
3,Bishops,21,5,0,26
7,Democratic Unionist Party,4,0,0,4
10,Independent Labour,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
5,Conservative Independent,1,0,0,1
44,Green Party,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
43,Labour Independent,0,1,0,1
283,Lord Speaker,1,0,0,1
22,Plaid Cymru,1,0,0,1
35,UK Independence Party,1,0,0,1
